operation,avg_time_ms,stddev_ms,num_records,query
Select all users,27.437257766723633,4.479522286254822,5,SELECT * FROM users WHERE id BETWEEN 1 AND 100000
Select all products in category,3.0228137969970703,0.482031237478315,5,SELECT * FROM products WHERE category = %s AND id BETWEEN 1 AND 100000
Select all orders for user,7.778501510620117,1.6617571656421488,5,SELECT * FROM orders WHERE user_id = %s AND id BETWEEN 1 AND 100000
Top 10 best-selling products,7.708549499511719,1.2827211039007205,5,"SELECT product_id, COUNT(*) as cnt FROM order_reviews GROUP BY product_id ORDER BY cnt DESC LIMIT 10"
Average rating per product,6.509923934936523,0.21095649886652926,5,"SELECT product_id, AVG(rating) FROM order_reviews GROUP BY product_id LIMIT 10"
