operation,avg_time_ms,stddev_ms,num_records,query
Select all users,0.19783973693847656,0.052937891346662436,5,<function main.<locals>.<lambda> at 0x109084220>
Select all products in category,0.3119468688964844,0.27946744056902656,5,<function main.<locals>.<lambda> at 0x1090844a0>
Select all orders for user,0.15473365783691406,0.020698522844732423,5,<function main.<locals>.<lambda> at 0x109084540>
Top 10 best-selling products,80.2785873413086,0.4550527416489098,5,<function main.<locals>.<lambda> at 0x1090845e0>
Average rating per product,95.44320106506348,0.6065831929558962,5,<function main.<locals>.<lambda> at 0x109084680>
