operation,avg_time_ms,stddev_ms,num_records,query
Select all users,11.74626350402832,3.871634414542267,5,<function main.<locals>.<lambda> at 0x104c6c220>
Select all products in category,1.9523143768310547,1.7414389210320242,5,<function main.<locals>.<lambda> at 0x104c6c4a0>
Select all orders for user,0.3531932830810547,0.4134737596202649,5,<function main.<locals>.<lambda> at 0x104c6c540>
Top 10 best-selling products,3.5980224609375,1.4627591056613,5,<function main.<locals>.<lambda> at 0x104c6c5e0>
Average rating per product,2.5777816772460938,0.24656049029332228,5,<function main.<locals>.<lambda> at 0x104c6c680>
