operation,avg_time_ms,stddev_ms,num_records,query
Select all users,0.5766868591308594,0.03574267457635203,5,<function main.<locals>.<lambda> at 0x106bd4220>
Select all products in category,1.7909526824951172,0.3043744156630962,5,<function main.<locals>.<lambda> at 0x106bd44a0>
Select all orders for user,0.106048583984375,0.015535124829151923,5,<function main.<locals>.<lambda> at 0x106bd4540>
Top 10 best-selling products,10.770797729492188,0.4784972380583284,5,<function main.<locals>.<lambda> at 0x106bd45e0>
Average rating per product,8.639955520629883,0.9196920063913477,5,<function main.<locals>.<lambda> at 0x106bd4680>
